Area,Median earning,Population_16+,Earning range,Count,Population_18+,BA/BS_18+
"Baldwin County, Alabama",56339,90456,"9,999 or less",1332,200404.0,61456.0
"Calhoun County, Alabama",45999,35776,"9,999 or less",392,91919.0,19162.0
"Cullman County, Alabama",50270,30508,"9,999 or less",784,71530.0,11726.0
"DeKalb County, Alabama",40200,22690,"9,999 or less",726,55149.0,7136.0
"Elmore County, Alabama",53486,,"9,999 or less",,71009.0,17858.0
"Etowah County, Alabama",47183,32505,"9,999 or less",1655,80630.0,13550.0
"Houston County, Alabama",44299,38094,"9,999 or less",1008,83711.0,17674.0
"Jefferson County, Alabama",52154,240596,"9,999 or less",2917,511772.0,175143.0
"Lauderdale County, Alabama",50352,31290,"9,999 or less",1222,78167.0,21944.0
"Lee County, Alabama",55005,60989,"9,999 or less",1445,145155.0,51326.0
"Limestone County, Alabama",65429,42413,"9,999 or less",667,88832.0,27394.0
"Madison County, Alabama",62163,159560,"9,999 or less",2718,324169.0,143896.0
"Marshall County, Alabama",45766,34070,"9,999 or less",800,74939.0,14882.0
"Mobile County, Alabama",47376,143910,"9,999 or less",2199,316274.0,79505.0
"Montgomery County, Alabama",50625,75136,"9,999 or less",1500,170839.0,52471.0
"Morgan County, Alabama",52331,43681,"9,999 or less",289,96033.0,22656.0
"St. Clair County, Alabama",57153,36995,"9,999 or less",1492,74269.0,17123.0
"Shelby County, Alabama",61260,93473,"9,999 or less",1494,180620.0,72868.0
"Talladega County, Alabama",50114,,"9,999 or less",,64911.0,10801.0
"Tuscaloosa County, Alabama",52172,80048,"9,999 or less",797,189087.0,51151.0
"Anchorage Municipality, Alaska",65346,110053,"9,999 or less",1316,219385.0,78576.0
"Fairbanks North Star Borough, Alaska",55242,37739,"9,999 or less",445,72090.0,20265.0
"Matanuska-Susitna Borough, Alaska",65949,36393,"9,999 or less",623,86125.0,20490.0
"Apache County, Arizona",44211,,"9,999 or less",,48498.0,7362.0
"Cochise County, Arizona",47957,29797,"9,999 or less",1685,99375.0,23726.0
"Coconino County, Arizona",55546,45893,"9,999 or less",588,117228.0,37596.0
"Maricopa County, Arizona",60080,1740582,"9,999 or less",24724,3572374.0,1217205.0
"Mohave County, Arizona",46567,56371,"9,999 or less",1695,188213.0,27861.0
"Navajo County, Arizona",50775,27516,"9,999 or less",865,82735.0,13012.0
"Pima County, Arizona",54348,347176,"9,999 or less",4135,858318.0,285796.0
"Pinal County, Arizona",52664,155187,"9,999 or less",3471,380479.0,78273.0
"Yavapai County, Arizona",57239,63021,"9,999 or less",1192,211565.0,63308.0
"Yuma County, Arizona",47220,63669,"9,999 or less",1972,161451.0,25597.0
"Benton County, Arkansas",60854,122979,"9,999 or less",1635,233033.0,82670.0
"Craighead County, Arkansas",49672,39436,"9,999 or less",134,85259.0,23302.0
"Faulkner County, Arkansas",50267,50172,"9,999 or less",559,100860.0,32075.0
"Garland County, Arkansas",45718,30844,"9,999 or less",762,80167.0,22121.0
"Jefferson County, Arkansas",41019,,"9,999 or less",,50243.0,9889.0
"Lonoke County, Arkansas",51232,,"9,999 or less",,57513.0,11891.0
